pattern,task_id,category,lambda_val,baseline_turns,adaptive_turns,turn_reduction,baseline_tokens,adaptive_tokens,cost_savings,stopped_by
swm4,game_01,B2,0.5,12,6,0.5,18645,4436,0.7620809868597479,
swm4,game_02,B2,0.5,26,10,0.6153846153846154,37829,4671,0.8765233022284491,
swm4,game_03,B2,0.5,9,8,0.1111111111111111,5914,7054,-0.1927629354075076,
swm4,eng_01,B2,0.5,34,10,0.7058823529411765,8253,2213,0.7318550830001211,
swm4,eng_02,B2,0.5,32,10,0.6875,9406,2592,0.7244312141186476,
swm4,eng_03,B2,0.5,20,8,0.6,23465,2855,0.8783294268058811,
swm4,biz_01,B2,0.5,34,10,0.7058823529411765,9201,2258,0.754591892185632,
swm4,biz_02,B2,0.5,32,8,0.75,11298,4323,0.6173659054699947,
swm4,biz_03,B2,0.5,34,8,0.7647058823529411,9168,2249,0.7546902268760908,
swm4,med_01,B2,0.5,34,8,0.7647058823529411,10205,2665,0.7388535031847133,
debate3,sci_01,C,0.5,5,4,0.2,8233,5289,0.3575853273411879,
debate3,sci_02,C,0.5,4,4,0.0,8100,7776,0.04,
debate3,sci_03,C,0.5,5,4,0.2,9796,8469,0.13546345447121275,
debate3,cs_01,C,0.5,5,4,0.2,14508,7646,0.47298042459332784,
debate3,cs_02,C,0.5,4,4,0.0,8733,8887,-0.01763426084965075,
debate3,cs_03,C,0.5,4,4,0.0,4805,4680,0.026014568158168574,
debate3,hist_01,C,0.5,5,4,0.2,10578,3960,0.6256381168462848,
debate3,hist_02,C,0.5,5,4,0.2,9840,3792,0.6146341463414634,
debate3,hist_03,C,0.5,5,4,0.2,11081,5355,0.5167403663929249,
debate3,phil_01,C,0.5,4,4,0.0,4328,4285,0.009935304990757857,
debate3,phil_02,C,0.5,4,4,0.0,8860,9194,-0.03769751693002257,
debate3,phil_03,C,0.5,5,4,0.2,11187,3903,0.6511128989005095,
debate3,law_01,C,0.5,5,4,0.2,9042,4893,0.45885865958858657,
debate3,law_02,C,0.5,4,4,0.0,8960,11192,-0.24910714285714286,
debate3,law_03,C,0.5,4,4,0.0,7767,9934,-0.27900090124887345,
debate3,game_01,C,0.5,4,4,0.0,6616,5584,0.15598548972188633,
debate3,game_02,C,0.5,4,4,0.0,9066,7288,0.19611736157070372,
debate3,game_03,C,0.5,5,4,0.2,11810,9132,0.22675698560541913,
debate3,eng_01,C,0.5,4,4,0.0,8833,8545,0.03260500396241368,
debate3,eng_02,C,0.5,4,4,0.0,8464,12617,-0.4906663516068053,
debate3,eng_03,C,0.5,4,4,0.0,6812,7550,-0.10833822665883734,
debate3,biz_01,C,0.5,5,4,0.2,11837,11310,0.04452141589929881,
debate3,biz_02,C,0.5,4,4,0.0,6572,7743,-0.17818015824710895,
debate3,biz_03,C,0.5,5,4,0.2,14667,9049,0.3830367491647917,
debate3,med_01,C,0.5,4,4,0.0,5560,5688,-0.02302158273381295,
pipe,sci_01,D,0.5,6,7,-0.16666666666666666,5992,12397,-1.0689252336448598,keyword
pipe,sci_02,D,0.5,6,6,0.0,12740,14715,-0.15502354788069073,keyword
pipe,sci_03,D,0.5,6,6,0.0,7672,12363,-0.611444212721585,keyword
pipe,cs_01,D,0.5,6,6,0.0,6241,9595,-0.5374138759814132,keyword
pipe,cs_02,D,0.5,6,6,0.0,15362,12682,0.17445645098294493,keyword
pipe,cs_03,D,0.5,5,5,0.0,7422,6910,0.06898410132039881,keyword
pipe,hist_01,D,0.5,5,5,0.0,4019,4691,-0.16720577258024386,keyword
pipe,hist_02,D,0.5,5,5,0.0,9769,8093,0.1715631077899478,keyword
pipe,hist_03,D,0.5,7,6,0.14285714285714285,12235,7437,0.3921536575398447,keyword
pipe,phil_01,D,0.5,5,5,0.0,6526,8160,-0.25038308305240575,keyword
pipe,phil_02,D,0.5,5,5,0.0,9151,8985,0.01814009397880013,keyword
pipe,phil_03,D,0.5,6,6,0.0,7536,8196,-0.0875796178343949,keyword
pipe,law_01,D,0.5,5,5,0.0,7075,6138,0.13243816254416962,keyword
pipe,law_02,D,0.5,5,5,0.0,8015,8547,-0.06637554585152838,keyword
pipe,law_03,D,0.5,5,5,0.0,10190,13137,-0.2892051030421982,keyword
pipe,game_01,D,0.5,6,6,0.0,9878,10109,-0.02338530066815145,keyword
pipe,game_02,D,0.5,6,6,0.0,15774,18253,-0.15715734753391658,keyword
pipe,game_03,D,0.5,7,7,0.0,18320,20173,-0.10114628820960699,keyword
pipe,eng_01,D,0.5,6,6,0.0,10255,10644,-0.037932715748415405,keyword
pipe,eng_02,D,0.5,6,6,0.0,16128,15419,0.043960813492063495,keyword
pipe,eng_03,D,0.5,5,5,0.0,6955,7363,-0.05866283249460819,keyword
pipe,biz_01,D,0.5,7,7,0.0,24047,26151,-0.08749532166174574,keyword
pipe,biz_02,D,0.5,6,6,0.0,8295,12778,-0.540446051838457,keyword
pipe,biz_03,D,0.5,5,6,-0.2,15420,15377,0.002788586251621271,keyword
pipe,med_01,D,0.5,7,7,0.0,16314,13675,0.16176290302807406,keyword
